id,title,description,product_type,image_link,price,mpn,brand,link
25697,"Instant Pot Superior Slow Cooker 7.1L","Discover why our Slow Cooker has been ranked number 1 by Good Housekeeping, scoring an impressive 94/100! Trusted experts say, 'The name of this slow cooker isn't misleading, it truly was superior on test'.The Instant Slow Cooker makes cooking low and slow dishes more convenient than ever, from cooking to table to clean up. Sear and sauté ingredients in the same pot before slow cooking, and then keep your recipe warm until you are ready. When it's time to eat, simply take the lightweight inner pot to the table for serving, and pop it in the dishwasher for easy clean up. And if you don't fancy a slow-cooked meal, our versatile slow cooker also doubles up as a steamer so you can effortlessly prepare healthy steamed meals too! 4 functions in 1: Slow cook, Steam, Sauté/Sear, and Keep Warm. Extra-large 7.1L capacity that can cook up to 10 portions. Large surface area makes sauteing ingredients quick and easy. EasyGrab handles to easily take the lightweight inner pot to the table for serving. Adapt for any recipe with full customisable time and temperature controls. Dishwasher-safe lid and non-stick pot.SKU: 140-6128-01-UK","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Pot-Superior-Slow-Cooker-7.1L.png,79.99,1286160262720425377,"Instant Pot",https://amanaonline.co.uk/store-2/instant-pot-superior-slow-cooker-7-1l-2/
25699,"Instant Pot Duo Plus with WhisperQuiet Multi-Cooker 5.7L","The Instant Pot Duo Plus with WhisperQuiet is designed to make cooking simple, easy and convenient. Rethink the way you cook, and step away from the hob, this do-it-all countertop appliance makes it easy to create one-pot meals with delicious results. Save up to 80% energy and cost.* Pressure cook up to 70% faster than other cooking methods. 9 functions in 1: pressure cooker, rice cooker, sauté, slow cook, steam, sous vide, bake, rice, keep warm, yoghurt. Quietest ever steam release, controlled via remote release button. 25 recipe presets take the guesswork out of cooking. Dishwasher-safe cooking pot and lid. Large message display with clear instructions, cooking progress bar, and open lid alert. Anti-spin inner pot stays in place when sautéing. 11+ proven safety features: Overheat Protection™, safe locking lid and more! Spacious 5.7L capacity for up to 6 portions. BPA/PFOA/PTFE-free cooking.*Study conducted to assess energy usage in a 2400W electric oven and Pro Crisp 8L Multi Pressure Cooker and Air Fryer when cooking the same Roast Chicken recipe. View the full report.SKU: 112-3079-01-UK","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Pot-Duo-Plus-with-WhisperQuiet-Multi-Cooker-5.7L.png,129.99,1286163851617437496,"Instant Pot",https://amanaonline.co.uk/store-2/instant-pot-duo-plus-with-whisperquiet-multi-cooker-5-7l-2/
25700,"Silicone Cover 3L","The Instant Pot silicone cover may be used on the Stainless Steel Instant Pot inner pot to create an airtight and water-tight seal for storage in your refrigerator. Suitable for 3L Inner Pots.SKU: 213-0002-01","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Silicone-Cover-3L.jpg,10.99,1286164017397940334,,https://amanaonline.co.uk/store-2/silicone-cover-3l-2/
25734,"Instant Vortex Slim Black Drawer","Instant Vortex Slim Black Drawer.This is only compatible with the Instant Vortex Slim air fryer in Black.Not compatible with any other models.This listing is for the drawer only.SKU: 210-1096-01-EMEA","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Vortex-Slim-Black-Drawer.jpg,14.99,1286162458937294970,,https://amanaonline.co.uk/store-2/instant-vortex-slim-black-drawer-2/
25736,"Instant Vortex 4-in-1 Air Fryer 3.8L","The original Vortex Air Fryer that can cook full family meals at the touch of a button, and get them on the table 50% faster than the oven.More than an air fryer with 4 one touch cooking programs.Air Fry: crispy chips, chicken nuggets, frozen snacks, bacon and sausages.Roast: whole joints of meat, potatoes and veggies.Bake: muffins, cakes, croissants and bread.Reheat: leftovers perfectly. Use up to 80% less energy than a traditional oven. Cook up to 50% faster with little to no preheating time. Get the perfect crunch with 95% less oil with EvenCrisp Technology.* Cooking progress indicator lets you know when your dish is ready. Turn food reminders for even results. Non-stick cooking baskets and cooking trays make clean-up easier than ever. Built-in safety features include Overheat Protection™ and auto-off. Matte black finish. Spacious 3.8L capacity has space for 1.2kg whole chicken or 600g of chips.*Study conducted to assess energy usage in a 2400W electric oven and a Vortex Plus 6-in-1 Air Fryer with ClearCook &amp; OdourErase when cooking the same Roast Chicken recipe.SKU: 140-3092-01-UK","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Vortex-4-in-1-Air-Fryer-3.8L.jpg,79.99,1286162648248149775,Instant,https://amanaonline.co.uk/store-2/instant-vortex-4-in-1-air-fryer-3-8l-2/
25738,"Instant Pot Multi-Cooker XL 7.1L","The Instant Pot Multicooker XL, designed to make cooking simple, easy and convenient. Effortlessly prepare up to 8 portions with its generous capacity, and a 33% larger sauté surface for even cooking results. The wider, lower profile not only makes it easier to stir during cooking, but also accommodates larger items like whole chickens with ease. Cook up to 70% faster with this do-it-all appliance and enjoy consistent, tasty dishes every time. Make weekday meals a breeze with one pot meals at the touch of a button. Save up to 80% energy*. Cook 70% faster compared to traditional methods when pressure cooking**. 7 functions in 1 - pressure cook, slow cook, sauté, steam, yoghurt, egg, and keep-warm. 4 customisable presets - so you can make your favourite meals time and time again. Your meals, your way - fully customisable time and temperature. Easy to use interface with guided cooking indicator. Anti-spin inner pot - stays in place when sautéing. Dishwasher-safe stainless steel inner pot and lid. 11+ proven safety features - Overheat Protection™, safe locking lid and more. Spacious 7.1L capacity - for up to 8 portions. Wide sauté area - 33% larger cooking surface for better cooking results and a lower profile, making it easier to use. Safe &amp; healthy cooking - BPA/PFOA/PTFE-free cooking.*Study conducted to assess energy usage in a 2400W electric oven and Pro Crisp 8L Multi Pressure Cooker and Air Fryer when cooking the same Roast Chicken recipe. View the full report.**Note: Cooking time may vary depending on the dish and ingredients. 70% faster claim based on comparison with traditional cooking methods. SKU: 140-0019-01-UK","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Pot-Multi-Cooker-XL-7.1L.jpg,149.99,1286162912747955422,"Instant Pot",https://amanaonline.co.uk/store-2/instant-pot-multi-cooker-xl-7-1l-2/
25741,"Instant Vortex Plus 6-in-1 Air Fryer with ClearCook 5.7L","Cook with the Instant Vortex Plus with ClearCook and know exactly how your food is cooking by watching through the ClearCook window. Cook from fresh or frozen, this family sized air fryer can get dinner on the table 50% faster than an oven, and all at the touch of a button.More than an air fryer with 6 one touch cooking programs.Air Fry: crispy chips, chicken nuggets, frozen snacks, bacon and sausages.Roast: whole joints of meat, potatoes and veggies.Bake: muffins, cakes, croissants and bread.Grill: steaks, skewers, halloumi &amp; cheese on toast.Dehydrate: your own beef jerky, fruit slices for snacking and cocktails.Reheat: leftovers perfectly. ClearCook window so you can see your food cooking inside without opening the drawer. Use up to 80% less energy than a traditional oven.* Cook up to 50% faster with little to no preheating time. Get the perfect crunch with 95% less oil with EvenCrisp Technology. Cooking progress indicator lets you know when your dish is read. Turn food reminders for even results. Non-stick cooking baskets and cooking trays make clean-up easier than ever. Built-in safety features include Overheat Protection™ and auto-off. Matte black finish. Spacious 5.7L capacity has space for 1.6kg whole chicken or 900g of chips.*Study conducted to assess energy usage in a 2400W electric oven and a Vortex Plus 6-in-1 Air Fryer with ClearCook &amp; OdourErase when cooking the same Roast Chicken recipe.SKU: 140-3096-01-UK","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Vortex-Plus-6-in-1-Air-Fryer-with-ClearCook-5.7L.png,99.99,1286163174708326393,Instant,https://amanaonline.co.uk/store-2/instant-vortex-plus-6-in-1-air-fryer-with-clearcook-5-7l-2/
25744,"Instant Vortex Plus Dual Drawer 8-in-1 Air Fryer with ClearCook Black","Enjoy the convenience of Twin Air Fry Baskets with the Instant Vortex Plus Dual Drawer. Cook two foods, two ways and SyncFinish them to be ready at the same time, or SyncCook the same settings in both drawers when doubling up portions or cooking meat &amp; vegetarian versions of the same dish.More than an air fryer with 6 one touch cooking programs.Air Fry: crispy chips, chicken nuggets, frozen snacks, bacon and sausages.Roast: whole joints of meat, potatoes and veggies.Bake: muffins, cakes, croissants and bread.Grill: steaks, skewers, halloumi &amp; cheese on toast.Dehydrate: your own beef jerky, fruit slices for snacking and cocktails.Reheat: leftovers perfectly. Each 3.7L basket fits up to 4 portions. ClearCook window so you can see your food cooking inside without opening the drawer. Use up to 80% less energy than a traditional oven.* Cook up to 50% faster with little to no preheating time. Get the perfect crunch with 95% less oil with EvenCrisp Technology. Cooking progress indicator lets you know when your dish is ready. Turn food reminders for even results. Non-stick cooking baskets and cooking trays make clean-up easier than ever. Built-in safety features include Overheat Protection™ and auto-off. Matt black finish.SKU: 140-3110-01-UK*Study conducted to assess energy usage in a 2400W electric oven and a Vortex Plus 6-in-1 Air Fryer with ClearCook &amp; OdourErase when cooking the same Roast Chicken recipe.","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Vortex-Plus-Dual-Drawer-8-in-1-Air-Fryer-with-ClearCook-Black.jpg,149.99,1286163859541747482,Instant,https://amanaonline.co.uk/store-2/instant-vortex-plus-dual-drawer-8-in-1-air-fryer-with-clearcook-black-2/
25746,"Instant Vortex Plus Air Fryer Oven 13 L","Elevate your air fryer game with the new Vortex Plus Air Fryer Oven with two tier cooking trays, and rotisserie spit - Home cooked meals will never be the same again!With the speed and efficiency of an air fryer, but added features of grilling, rotisserie, roasting, toasting, baking, reheating, dehydrating and proofing - you can cook everything your oven can, but in one compact kitchen counter appliance. Use up to 80% less energy than a traditional oven.* Cook up to 50% faster with little to no preheating time. The perfect crunch with 95% less oil.** 9 one touch cooking programs. Multi-level cook trays for cooking different foods at the same time. Cook the perfect roast using rotisserie function and accessories, rotisserie style chicken in under 1 hour. 360° hot air circulation and perforated cooking trays ensure food is 'tender on the inside, crispy on the outside. Easily adjust the cooking time and temperature to fit any recipe. Cooking progress indicator lets you know when your dish is ready. Extra large 13L capacity, for cooking full family meals.*Study conducted to assess energy usage in a 2400W electric oven and a Vortex Plus 6-in-1 Air Fryer with ClearCook &amp; OdourErase when cooking the same Roast Chicken recipe.**than traditional deep frying.SKU: 140-4101-01-UK","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Vortex-Plus-Air-Fryer-Oven-13-L.png,119.99,1286164131495692067,Instant,https://amanaonline.co.uk/store-2/instant-vortex-plus-air-fryer-oven-13-l-2/
25747,"Instant Vortex Plus VersaZone Air Fryer 8.5L","Cooking with the Instant Vortex Plus VersaZone™ Air Fryer means endless possibilities. Use as a large single 8.5L basket when cooking a large family meal, a big joint of meat, tray bake &amp; more. Or switch to dual 4.2L baskets for cooking two food, two ways by simply adding the drawer divider. Smart SyncFinish function automatically finishes the two cooking programs at the same time.More than an air fryer with 6 one touch cooking programs. Air Fry: crispy chips, chicken nuggets, frozen snacks, bacon and sausages.Roast: whole joints of meat, potatoes and veggies.Bake: muffins, cakes, croissants and bread.Grill: steaks, skewers, halloumi &amp; cheese on toast.Dehydrate: your own beef jerky, fruit slices for snacking and cocktails.Reheat: leftovers perfectly. 8.5L capacity when using as an XXL drawer - space for large joints of meats, tray bakes and more. 2 x 4.2L capacity when removable divider is in place - ideal for cooking 2 things at once, such as fish and chips. Smart SyncFinish function automatically finishes the two cooking programs at the same time. Cook extra large portions with the spacious 8.5L drawer - ideal for meal prep and full family meals. Use up to 80% less energy than a traditional oven.* Cook up to 50% faster with little to no preheating time. Get the perfect crunch with 95% less oil with EvenCrisp Technology.** Cooking progress indicator lets you know when your dish is ready. Handy add food/turn food prompts for even results. Dishwasher safe grill tray, drawer divider and drawer. Built in safety features: Overheat Protection™, auto-off and more. 1450-1700 watts, 220-240 V~ 50-60 Hz.*Study conducted to assess energy usage in a 2400W electric oven and a Vortex Plus 6-in-1 large Air Fryer with ClearCook &amp; OdourErase when cooking the same Roast Chicken recipe**compared to deep fryingSKU: 140-1151-01-UK","Instant Airfryer",https://amanaonline.co.uk/wp-content/uploads/2024/11/Instant-Vortex-Plus-VersaZone-Air-Fryer-8.5L.png,199.99,1286164137405089728,Instant,https://amanaonline.co.uk/store-2/instant-vortex-plus-versazone-air-fryer-8-5l-2/
